sidestick_pitch_position.time,sidestick_pitch_position.value,sidestick_roll_position.time,sidestick_roll_position.value
0.0,0.000000,0.0,0.000000
0.1,3.910862,0.1,0.000000
0.2,7.725425,0.2,0.000000
0.3,11.349762,0.3,0.000000
0.4,14.694631,0.4,0.000000
0.5,17.677670,0.5,0.000000
0.6,20.225425,0.6,0.000000
0.7,22.275163,0.7,0.000000
0.8,23.776413,0.8,0.000000
0.9,24.692209,0.9,0.000000
1.0,25.000000,1.0,0.000000
1.1,24.692209,1.1,0.000000
1.2,23.776413,1.2,0.000000
1.3,22.275163,1.3,0.000000
1.4,20.225425,1.4,0.000000
1.5,17.677670,1.5,0.000000
1.6,14.694631,1.6,0.000000
1.7,11.349762,1.7,0.000000
1.8,7.725425,1.8,0.000000
1.9,3.910862,1.9,0.000000
2.0,0.000000,2.0,0.000000
2.1,-3.910862,2.1,0.000000
2.2,-7.725425,2.2,0.000000
2.3,-11.349762,2.3,0.000000
2.4,-14.694631,2.4,0.000000
2.5,-17.677670,2.5,0.000000
2.6,-20.225425,2.6,0.000000
2.7,-22.275163,2.7,0.000000
2.8,-23.776413,2.8,0.000000
2.9,-24.692209,2.9,0.000000
3.0,-25.000000,3.0,0.000000
3.1,-24.692209,3.1,0.000000
3.2,-23.776413,3.2,0.000000
3.3,-22.275163,3.3,0.000000
3.4,-20.225425,3.4,0.000000
3.5,-17.677670,3.5,0.000000
3.6,-14.694631,3.6,0.000000
3.7,-11.349762,3.7,0.000000
3.8,-7.725425,3.8,0.000000
3.9,-3.910862,3.9,0.000000
4.0,0.000000,4.0,0.000000
4.1,0.000000,4.1,3.910862
4.2,0.000000,4.2,7.725425
4.3,0.000000,4.3,11.349762
4.4,0.000000,4.4,14.694631
4.5,0.000000,4.5,17.677670
4.6,0.000000,4.6,20.225425
4.7,0.000000,4.7,22.275163
4.8,0.000000,4.8,23.776413
4.9,0.000000,4.9,24.692209
5.0,0.000000,5.0,25.000000
5.1,0.000000,5.1,24.692209
5.2,0.000000,5.2,23.776413
5.3,0.000000,5.3,22.275163
5.4,0.000000,5.4,20.225425
5.5,0.000000,5.5,17.677670
5.6,0.000000,5.6,14.694631
5.7,0.000000,5.7,11.349762
5.8,0.000000,5.8,7.725425
5.9,0.000000,5.9,3.910862
6.0,0.000000,6.0,0.000000
6.1,0.000000,6.1,-3.910862
6.2,0.000000,6.2,-7.725425
6.3,0.000000,6.3,-11.349762
6.4,0.000000,6.4,-14.694631
6.5,0.000000,6.5,-17.677670
6.6,0.000000,6.6,-20.225425
6.7,0.000000,6.7,-22.275163
6.8,0.000000,6.8,-23.776413
6.9,0.000000,6.9,-24.692209
7.0,0.000000,7.0,-25.000000
7.1,0.000000,7.1,-24.692209
7.2,0.000000,7.2,-23.776413
7.3,0.000000,7.3,-22.275163
7.4,0.000000,7.4,-20.225425
7.5,0.000000,7.5,-17.677670
7.6,0.000000,7.6,-14.694631
7.7,0.000000,7.7,-11.349762
7.8,0.000000,7.8,-7.725425
7.9,0.000000,7.9,-3.910862
8.0,0.000000,8.0,0.000000
